#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,121
6,100.0,385
9,100.0,634
12,97.23,1103
15,93.09,1481
18,91.71,2010
21,87.71,2358
24,60.09,3762
27,60.98,5158
30,61.19,5669
33,62.14,5993
36,62.96,6520
39,63.37,7020
42,63.96,7517
45,64.88,8090
48,64.96,8542
51,64.82,8911
54,64.98,9238
57,65.28,9489
60,65.42,10110
63,65.75,10713
66,65.88,10973
69,65.95,11147
72,66.06,11346
75,66.1,11507
78,66.45,11684
81,66.42,12140
84,66.36,12412
87,66.35,12577
90,66.28,12805
93,66.04,13103
96,66.06,13156
99,65.74,13226
102,65.61,13396
105,65.53,13665
108,65.4,13823
111,65.44,13873
114,65.45,13975
117,65.47,14158
120,65.56,14286
123,65.72,14435
126,65.86,14557
129,65.94,14650
132,66.0,14729
135,66.04,14786
138,66.04,14817
141,66.05,14835
144,66.08,14885
147,66.07,14962
150,65.87,15007
153,65.89,15036
156,65.91,15051
159,65.92,15112
162,66.01,15133
165,66.02,15152
168,66.07,15215
171,65.96,15279
174,65.91,15320
177,65.92,15328
180,65.96,15366
183,64.17,15398
186,64.17,15435
189,64.19,15450
192,64.21,15469
195,64.22,15547
198,64.25,15578
