#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,121
6,100.0,385
9,100.0,634
12,97.23,1103
15,92.79,1481
18,86.34,2010
21,82.2,2358
24,63.49,3762
27,59.59,5158
30,59.41,5669
33,59.55,5993
36,60.11,6520
39,60.41,7020
42,59.72,7517
45,59.09,8090
48,59.12,8542
51,59.11,8911
54,58.88,9238
57,58.57,9489
60,58.49,10110
63,57.98,10713
66,57.97,10973
69,57.84,11147
72,57.57,11346
75,57.6,11507
78,57.43,11684
81,57.19,12140
84,57.05,12412
87,57.01,12577
90,56.95,12805
93,56.36,13103
96,56.34,13156
99,56.04,13226
102,56.01,13396
105,55.89,13665
108,55.56,13823
111,55.51,13873
114,55.5,13975
117,55.34,14158
120,55.27,14286
123,54.56,14435
126,54.46,14557
129,54.4,14650
132,54.03,14729
135,54.05,14786
138,54.05,14817
141,54.03,14835
144,54.02,14885
147,54.01,14962
150,53.37,15007
153,53.34,15036
156,53.32,15051
159,53.28,15112
162,53.31,15133
165,53.32,15152
168,53.28,15215
171,52.83,15279
174,52.5,15320
177,52.5,15328
180,52.51,15366
183,50.98,15398
186,50.85,15435
189,50.86,15450
192,50.84,15469
195,50.82,15547
198,50.82,15578
