#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 9030, blocksize: 9030, prefetchsize: 903, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,558
6,100.0,1026
9,100.0,1200
12,100.0,1584
15,100.0,2139
18,100.0,2680
21,99.98,3488
24,99.99,4396
27,99.89,5320
30,99.9,6014
33,99.88,6724
36,99.88,7402
39,99.79,8156
42,99.8,8769
45,99.79,9335
48,99.8,9888
51,99.77,10631
54,99.72,11555
57,96.33,12602
60,96.44,13628
63,96.45,14475
66,95.76,15541
69,95.09,16595
72,94.8,17467
75,94.1,18440
78,92.99,19744
81,91.78,20712
84,91.04,21602
87,90.65,22381
90,89.97,23413
93,89.63,24800
96,89.19,26205
99,88.96,27367
102,88.83,28457
105,88.45,29935
108,88.19,31524
111,87.97,32917
114,87.97,32922
