#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,46
6,100.0,56
9,100.0,138
12,100.0,197
15,100.0,311
18,100.0,368
21,100.0,417
24,100.0,423
27,100.0,448
30,100.0,483
33,100.0,491
36,100.0,496
39,100.0,502
42,100.0,515
45,100.0,538
48,100.0,596
51,100.0,646
54,100.0,733
57,100.0,864
60,100.0,961
63,100.0,1025
66,100.0,1071
69,99.57,1189
72,99.16,1261
75,99.01,1368
78,98.11,1494
81,98.13,1562
84,98.14,1625
87,97.97,1673
90,97.67,1820
93,97.56,1849
96,97.4,1876
99,96.28,1973
102,92.49,2054
105,91.8,2095
108,91.92,2168
111,91.89,2241
114,90.81,2287
117,90.63,2322
120,89.26,2359
123,87.53,2419
126,85.87,2612
129,85.85,2697
132,85.83,2739
135,85.69,2819
138,84.54,2913
141,83.3,3011
144,77.42,3114
147,74.27,3189
150,71.9,3271
153,70.53,3368
156,68.85,3436
159,67.88,3497
162,66.95,3549
165,66.09,3613
168,65.41,3656
171,64.84,3750
174,63.4,3880
177,61.84,3947
180,60.69,4010
183,60.3,4072
186,54.42,4098
189,54.42,4099
