#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 11680, blocksize: 11680, prefetchsize: 1168, cache replacement policy: LRU
Month,HitRate,NumCommits
3,70.25,551
6,76.93,1078
9,83.4,1942
12,87.58,2784
15,88.06,3318
18,89.54,4108
21,90.99,5197
24,90.5,5830
27,90.98,6563
30,91.71,7357
33,92.01,8473
36,92.55,9489
39,92.5,10073
42,92.48,11097
45,87.54,11932
48,87.77,12875
51,87.34,13534
54,86.59,14203
57,87.58,15159
60,87.79,15765
63,87.61,16044
66,87.73,16595
69,87.8,17191
72,86.78,17659
75,86.45,18040
78,86.14,18419
81,86.03,18770
84,86.71,19247
87,86.67,19602
90,86.7,19910
93,87.54,20190
96,87.54,20392
99,86.95,20630
102,85.91,20953
105,85.41,21390
108,85.09,21654
111,84.43,21844
114,84.3,21998
117,83.68,22369
120,83.54,22644
123,83.57,22838
126,83.05,22981
129,83.11,23156
132,82.79,23320
135,82.45,23502
138,82.28,23656
141,82.43,24030
144,82.68,24218
147,82.95,24461
150,83.07,24865
153,83.03,25394
156,83.0,25520
159,82.57,25745
162,82.48,25967
165,81.8,26107
168,81.67,26195
171,81.45,26357
174,81.37,26505
177,81.28,26671
180,81.29,26759
