#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
Month,HitRate,NumCommits
3,67.12,551
6,60.22,1078
9,64.21,1942
12,63.12,2784
15,61.24,3318
18,54.86,4108
21,47.01,5197
24,46.77,5830
27,47.17,6563
30,47.37,7357
33,46.27,8473
36,45.48,9489
39,45.08,10073
42,45.83,11097
45,39.62,11932
48,39.48,12875
51,39.44,13534
54,38.87,14203
57,36.55,15159
60,36.15,15765
63,35.93,16044
66,35.73,16595
69,35.58,17191
72,35.59,17659
75,35.8,18040
78,35.86,18419
81,36.16,18770
84,36.13,19247
87,36.26,19602
90,36.23,19910
93,34.46,20190
96,34.24,20392
99,34.36,20630
102,34.19,20953
105,35.01,21390
108,34.99,21654
111,34.99,21844
114,35.32,21998
117,35.93,22369
120,36.58,22644
123,37.42,22838
126,37.46,22981
129,38.58,23156
132,38.88,23320
135,39.24,23502
138,39.58,23656
141,41.26,24030
144,42.04,24218
147,43.2,24461
150,44.57,24865
153,46.19,25394
156,46.18,25520
159,46.18,25745
162,46.69,25967
165,46.75,26107
168,46.78,26195
171,46.64,26357
174,46.71,26505
177,46.74,26671
180,46.79,26759
