#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
Month,HitRate,NumCommits
3,100.0,46
6,100.0,56
9,100.0,138
12,100.0,197
15,100.0,311
18,100.0,368
21,100.0,417
24,100.0,423
27,100.0,448
30,100.0,483
33,100.0,491
36,100.0,496
39,100.0,502
42,100.0,515
45,100.0,538
48,100.0,596
51,100.0,646
54,100.0,733
57,100.0,864
60,100.0,961
63,100.0,1025
66,100.0,1071
69,100.0,1189
72,100.0,1261
75,100.0,1368
78,99.62,1494
81,99.63,1562
84,99.44,1625
87,99.45,1673
90,99.46,1820
93,99.48,1849
96,99.48,1876
99,99.35,1973
102,99.25,2054
105,99.27,2095
108,99.28,2168
111,99.3,2241
114,99.31,2287
117,99.32,2322
120,99.34,2359
123,99.36,2419
126,98.8,2612
129,98.32,2697
132,98.27,2739
135,98.05,2819
138,97.0,2913
141,96.73,3011
144,96.28,3114
147,95.82,3189
150,94.81,3271
153,94.46,3368
156,94.11,3436
159,92.82,3497
162,92.73,3549
165,92.34,3613
168,92.14,3656
171,92.02,3750
174,91.27,3880
177,90.48,3947
180,90.33,4010
183,90.29,4072
186,65.72,4098
189,65.72,4099
