#hitrate for every 3 months, used to describe the variation of hit rate with time
#project: 1, cachesize: 500, blocksize: 500, prefetchsize: 600, cache replacement policy: LRU
Month,HitRate,NumCommits
3,94.28,332
6,97.11,654
9,97.73,966
12,97.75,1090
15,97.9,1212
18,97.76,1564
21,97.56,2006
24,97.51,2144
27,97.29,2268
30,96.95,2366
33,96.88,2488
36,96.95,2612
39,97.03,2672
42,97.05,2762
45,97.07,2786
48,97.05,2900
51,97.05,2996
54,96.72,3064
57,96.7,3356
60,96.66,3609
63,96.66,3758
66,96.61,3955
69,96.54,4043
72,96.56,4215
75,96.51,4345
78,96.52,4449
81,96.44,4707
84,96.49,4979
87,96.5,5097
90,96.41,5255
93,96.44,5367
96,96.43,5464
99,96.45,5572
102,96.47,5702
105,96.49,5881
108,96.5,5938
111,96.53,6036
114,96.54,6152
117,96.54,6195
120,96.56,6338
123,96.58,6555
126,96.62,6811
129,96.64,6976
132,96.69,7140
135,96.71,7227
138,96.72,7289
141,96.73,7345
144,96.66,7404
147,96.62,7445
150,96.63,7458
153,96.61,7489
156,96.61,7509
159,96.59,7538
162,96.59,7559
165,96.56,7587
168,96.56,7592
